iso3_country,sector,subsector,start_Time,end_time,gas,emissions_quantity,temporal_granularity,Emission_qty_avg_replaced
ABW,mineral-extraction,bauxite-mining,2015,2015,co2e_100yr,0,annual,25116.93002
ABW,mineral-extraction,bauxite-mining,2016,2016,co2e_100yr,0,annual,25116.93002
ABW,mineral-extraction,bauxite-mining,2017,2017,co2e_100yr,0,annual,25116.93002
ABW,mineral-extraction,bauxite-mining,2018,2018,co2e_100yr,0,annual,25116.93002
ABW,mineral-extraction,bauxite-mining,2019,2019,co2e_100yr,0,annual,25116.93002
ABW,mineral-extraction,bauxite-mining,2020,2020,co2e_100yr,0,annual,25116.93002
ABW,mineral-extraction,bauxite-mining,2021,2021,co2e_100yr,0,annual,25116.93002
ABW,mineral-extraction,bauxite-mining,2022,2022,co2e_100yr,0,annual,25116.93002
ABW,mineral-extraction,bauxite-mining,2023,2023,co2e_100yr,0,annual,25116.93002
ABW,mineral-extraction,bauxite-mining,2024,2024,co2e_100yr,0,annual,25116.93002
ABW,mineral-extraction,bauxite-mining,2025,2025,co2e_100yr,0,annual,25116.93002
AFG,mineral-extraction,bauxite-mining,2015,2015,co2e_100yr,0,annual,25116.93002
AFG,mineral-extraction,bauxite-mining,2016,2016,co2e_100yr,0,annual,25116.93002
AFG,mineral-extraction,bauxite-mining,2017,2017,co2e_100yr,0,annual,25116.93002
AFG,mineral-extraction,bauxite-mining,2018,2018,co2e_100yr,0,annual,25116.93002
AFG,mineral-extraction,bauxite-mining,2019,2019,co2e_100yr,0,annual,25116.93002
AFG,mineral-extraction,bauxite-mining,2020,2020,co2e_100yr,0,annual,25116.93002
AFG,mineral-extraction,bauxite-mining,2021,2021,co2e_100yr,0,annual,25116.93002
AFG,mineral-extraction,bauxite-mining,2022,2022,co2e_100yr,0,annual,25116.93002
AFG,mineral-extraction,bauxite-mining,2023,2023,co2e_100yr,0,annual,25116.93002
AFG,mineral-extraction,bauxite-mining,2024,2024,co2e_100yr,0,annual,25116.93002
AFG,mineral-extraction,bauxite-mining,2025,2025,co2e_100yr,0,annual,25116.93002
AGO,mineral-extraction,bauxite-mining,2015,2015,co2e_100yr,0,annual,25116.93002
AGO,mineral-extraction,bauxite-mining,2016,2016,co2e_100yr,0,annual,25116.93002
AGO,mineral-extraction,bauxite-mining,2017,2017,co2e_100yr,0,annual,25116.93002
AGO,mineral-extraction,bauxite-mining,2018,2018,co2e_100yr,0,annual,25116.93002
